UDI,Product ID,Type,air_temp,process_temp,rotation_speed,torque,tool_wear,failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,air_temp_lag_1,process_temp_lag_1,rotation_speed_lag_1,torque_lag_1,tool_wear_lag_1,air_temp_lag_2,process_temp_lag_2,rotation_speed_lag_2,torque_lag_2,tool_wear_lag_2,air_temp_roll_mean_3,rotation_speed_roll_std_3
786,M15645,M,296.9,308.0,1497,44.8,57,0,0,0,0,0,0,M01,2025-02-02 17:00:00,296.7,307.9,1743.0,27.9,55.0,296.7,307.9,1579.0,33.4,50.0,296.76666666666665,125.25706899545918
787,L47966,L,296.9,308.1,1741,28.8,60,0,0,0,0,0,0,M01,2025-02-02 18:00:00,296.9,308.0,1497.0,44.8,57.0,296.7,307.9,1743.0,27.9,55.0,296.8333333333333,141.45435070485894
788,L47967,L,296.9,308.1,1435,45.3,62,0,0,0,0,0,0,M01,2025-02-02 19:00:00,296.9,308.1,1741.0,28.8,60.0,296.9,308.0,1497.0,44.8,57.0,296.9,161.7693831765864
789,M15648,M,296.9,308.1,1440,46.3,64,0,0,0,0,0,0,M01,2025-02-02 20:00:00,296.9,308.1,1435.0,45.3,62.0,296.9,308.1,1741.0,28.8,60.0,296.9,175.24363992263238
790,M15649,M,296.9,308.0,1641,33.3,67,0,0,0,0,0,0,M01,2025-02-02 21:00:00,296.9,308.1,1440.0,46.3,64.0,296.9,308.1,1435.0,45.3,62.0,296.9,117.51737460194238
791,L47970,L,296.8,307.9,1420,45.4,70,0,0,0,0,0,0,M01,2025-02-02 22:00:00,296.9,308.0,1641.0,33.3,67.0,296.9,308.1,1440.0,46.3,64.0,296.8666666666666,122.2306562746566
792,L47971,L,296.8,307.9,1611,35.4,72,0,0,0,0,0,0,M01,2025-02-02 23:00:00,296.8,307.9,1420.0,45.4,70.0,296.9,308.0,1641.0,33.3,67.0,296.8333333333333,119.87632515777773
793,L47972,L,296.8,307.8,1373,42.9,74,0,0,0,0,0,0,M01,2025-02-03 00:00:00,296.8,307.9,1611.0,35.4,72.0,296.8,307.9,1420.0,45.4,70.0,296.8,126.05157674539386
794,M15653,M,296.8,307.9,1683,31.8,76,0,0,0,0,0,0,M01,2025-02-03 01:00:00,296.8,307.8,1373.0,42.9,74.0,296.8,307.9,1611.0,35.4,72.0,296.8,162.23850755395046
795,H30208,H,296.9,307.9,1547,32.6,79,0,0,0,0,0,0,M01,2025-02-03 02:00:00,296.8,307.9,1683.0,31.8,76.0,296.8,307.8,1373.0,42.9,74.0,296.8333333333333,155.3876871998977
796,L47975,L,296.9,307.8,1605,37.0,84,0,0,0,0,0,0,M01,2025-02-03 03:00:00,296.9,307.9,1547.0,32.6,79.0,296.8,307.9,1683.0,31.8,76.0,296.8666666666667,68.24465791058856
797,M15656,M,296.9,307.9,2010,18.9,86,0,0,0,0,0,0,M01,2025-02-03 04:00:00,296.9,307.8,1605.0,37.0,84.0,296.9,307.9,1547.0,32.6,79.0,296.9,252.24260808462404
798,L47977,L,296.8,307.7,1565,40.1,89,0,0,0,0,0,0,M01,2025-02-03 05:00:00,296.9,307.9,2010.0,18.9,86.0,296.9,307.8,1605.0,37.0,84.0,296.8666666666666,246.18759784630348
799,M15658,M,296.9,307.8,1828,24.6,91,0,0,0,0,0,0,M01,2025-02-03 06:00:00,296.8,307.7,1565.0,40.1,89.0,296.9,307.9,2010.0,18.9,86.0,296.8666666666666,223.72527796384543
800,M15659,M,297.0,307.8,1579,34.1,94,0,0,0,0,0,0,M01,2025-02-03 07:00:00,296.9,307.8,1828.0,24.6,91.0,296.8,307.7,1565.0,40.1,89.0,296.90000000000003,147.9673387384298
801,M15660,M,297.0,307.9,1882,24.2,97,0,0,0,0,0,0,M01,2025-02-03 08:00:00,297.0,307.8,1579.0,34.1,94.0,296.9,307.8,1828.0,24.6,91.0,296.9666666666667,161.61992451427483
802,L47981,L,296.9,307.8,1285,52.1,100,0,0,0,0,0,0,M01,2025-02-03 09:00:00,297.0,307.9,1882.0,24.2,97.0,297.0,307.8,1579.0,34.1,94.0,296.96666666666664,298.5113063185378
803,L47982,L,296.9,307.8,1571,35.0,102,0,0,0,0,0,0,M01,2025-02-03 10:00:00,296.9,307.8,1285.0,52.1,100.0,297.0,307.9,1882.0,24.2,97.0,296.93333333333334,298.58722901914814
804,H30217,H,296.9,307.8,1549,37.8,104,0,0,0,0,0,0,M01,2025-02-03 11:00:00,296.9,307.8,1571.0,35.0,102.0,296.9,307.8,1285.0,52.1,100.0,296.9,159.15191903754476
805,M15664,M,296.9,307.8,1544,37.6,109,0,0,0,0,0,0,M01,2025-02-03 12:00:00,296.9,307.8,1549.0,37.8,104.0,296.9,307.8,1571.0,35.0,102.0,296.9,14.364307617606132
806,M15665,M,297.0,307.9,1412,47.4,112,0,0,0,0,0,0,M01,2025-02-03 13:00:00,296.9,307.8,1544.0,37.6,109.0,296.9,307.8,1549.0,37.8,104.0,296.93333333333334,77.69384359994828
807,M15666,M,297.0,307.9,1422,53.0,115,0,0,0,0,0,0,M01,2025-02-03 14:00:00,297.0,307.9,1412.0,47.4,112.0,296.9,307.8,1544.0,37.6,109.0,296.9666666666667,73.49376390778488
808,L47987,L,297.0,307.7,1867,22.8,118,0,0,0,0,0,0,M01,2025-02-03 15:00:00,297.0,307.9,1422.0,53.0,115.0,297.0,307.9,1412.0,47.4,112.0,297.0,259.85572920372545
809,L47988,L,296.9,307.7,1424,43.3,120,0,0,0,0,0,0,M01,2025-02-03 16:00:00,297.0,307.7,1867.0,22.8,118.0,297.0,307.9,1422.0,53.0,115.0,296.96666666666664,256.34547002043917
810,L47989,L,296.9,307.6,1452,45.7,122,0,0,0,0,0,0,M01,2025-02-03 17:00:00,296.9,307.7,1424.0,43.3,120.0,297.0,307.7,1867.0,22.8,118.0,296.93333333333334,248.07861657144068
811,L47990,L,296.9,307.7,1550,39.7,124,0,0,0,0,0,0,M01,2025-02-03 18:00:00,296.9,307.6,1452.0,45.7,122.0,296.9,307.7,1424.0,43.3,120.0,296.9,66.16141876753566
812,L47991,L,296.8,307.6,1588,37.6,126,0,0,0,0,0,0,M01,2025-02-03 19:00:00,296.9,307.7,1550.0,39.7,124.0,296.9,307.6,1452.0,45.7,122.0,296.8666666666667,70.17121917139455
813,L47992,L,296.8,307.6,1338,44.4,128,0,0,0,0,0,0,M01,2025-02-03 20:00:00,296.8,307.6,1588.0,37.6,126.0,296.9,307.7,1550.0,39.7,124.0,296.8333333333333,134.7145129523909
814,L47993,L,296.8,307.6,1513,40.0,130,0,0,0,0,0,0,M01,2025-02-03 21:00:00,296.8,307.6,1338.0,44.4,128.0,296.8,307.6,1588.0,37.6,126.0,296.8,128.29003598617166
815,M15674,M,296.8,307.5,1470,45.9,132,0,0,0,0,0,0,M01,2025-02-03 22:00:00,296.8,307.6,1513.0,40.0,130.0,296.8,307.6,1338.0,44.4,128.0,296.8,91.19393254670638
816,M15675,M,296.8,307.5,1516,36.7,135,0,0,0,0,0,0,M01,2025-02-03 23:00:00,296.8,307.5,1470.0,45.9,132.0,296.8,307.6,1513.0,40.0,130.0,296.8,25.73583752927495
817,L47996,L,296.8,307.6,1434,48.3,138,0,0,0,0,0,0,M01,2025-02-04 00:00:00,296.8,307.5,1516.0,36.7,135.0,296.8,307.5,1470.0,45.9,132.0,296.8,41.101500378127746
818,L47997,L,296.8,307.6,1368,52.0,140,0,0,0,0,0,0,M01,2025-02-04 01:00:00,296.8,307.6,1434.0,48.3,138.0,296.8,307.5,1516.0,36.7,135.0,296.8,74.14400402819659
819,L47998,L,296.8,307.6,1304,48.7,142,0,0,0,0,0,0,M01,2025-02-04 02:00:00,296.8,307.6,1368.0,52.0,140.0,296.8,307.6,1434.0,48.3,138.0,296.8,65.0025640519913
820,L47999,L,296.8,307.6,1398,46.7,144,0,0,0,0,0,0,M01,2025-02-04 03:00:00,296.8,307.6,1304.0,48.7,142.0,296.8,307.6,1368.0,52.0,140.0,296.8,48.0138868800812
821,L48000,L,296.7,307.6,1516,37.4,146,0,0,0,0,0,0,M01,2025-02-04 04:00:00,296.8,307.6,1398.0,46.7,144.0,296.8,307.6,1304.0,48.7,142.0,296.76666666666665,106.22617379911554
822,L48001,L,296.7,307.6,1474,41.7,148,0,0,0,0,0,0,M01,2025-02-04 05:00:00,296.7,307.6,1516.0,37.4,146.0,296.8,307.6,1398.0,46.7,144.0,296.73333333333335,59.81081284628419
823,M15682,M,296.7,307.6,1547,34.7,150,0,0,0,0,0,0,M01,2025-02-04 06:00:00,296.7,307.6,1474.0,41.7,148.0,296.7,307.6,1516.0,37.4,146.0,296.7,36.63786747796919
824,M15683,M,296.6,307.5,1482,39.9,153,0,0,0,0,0,0,M01,2025-02-04 07:00:00,296.7,307.6,1547.0,34.7,150.0,296.7,307.6,1474.0,41.7,148.0,296.6666666666667,40.037482438333946
825,L48004,L,296.6,307.4,1436,42.8,156,0,0,0,0,0,0,M01,2025-02-04 08:00:00,296.6,307.5,1482.0,39.9,153.0,296.7,307.6,1547.0,34.7,150.0,296.6333333333334,55.77036249956808
826,L48005,L,296.6,307.3,1474,40.0,158,0,0,0,0,0,0,M01,2025-02-04 09:00:00,296.6,307.4,1436.0,42.8,156.0,296.6,307.5,1482.0,39.9,153.0,296.6,24.57641145488683
827,L48006,L,296.5,307.2,1481,38.2,160,0,0,0,0,0,0,M01,2025-02-04 10:00:00,296.6,307.3,1474.0,40.0,158.0,296.6,307.4,1436.0,42.8,156.0,296.56666666666666,24.214320831549767
828,L48007,L,296.5,307.3,1501,42.1,162,0,0,0,0,0,0,M01,2025-02-04 11:00:00,296.5,307.2,1481.0,38.2,160.0,296.6,307.3,1474.0,40.0,158.0,296.5333333333333,14.011899704651915
829,L48008,L,296.5,307.3,1566,37.2,164,0,0,0,0,0,0,M01,2025-02-04 12:00:00,296.5,307.3,1501.0,42.1,162.0,296.5,307.2,1481.0,38.2,160.0,296.5,44.44097208657673
830,L48009,L,296.5,307.3,1579,34.5,166,0,0,0,0,0,0,M01,2025-02-04 13:00:00,296.5,307.3,1566.0,37.2,164.0,296.5,307.3,1501.0,42.1,162.0,296.5,41.789153297634826
831,L48010,L,296.6,307.4,1631,35.0,168,0,0,0,0,0,0,M01,2025-02-04 14:00:00,296.5,307.3,1579.0,34.5,166.0,296.5,307.3,1566.0,37.2,164.0,296.53333333333336,34.394767043838044
832,M15691,M,296.6,307.4,1544,42.3,170,0,0,0,0,0,0,M01,2025-02-04 15:00:00,296.6,307.4,1631.0,35.0,168.0,296.5,307.3,1579.0,34.5,166.0,296.56666666666666,43.77594468807296
833,L48012,L,296.6,307.4,1521,38.6,173,0,0,0,0,0,0,M01,2025-02-04 16:00:00,296.6,307.4,1544.0,42.3,170.0,296.6,307.4,1631.0,35.0,168.0,296.6,58.020111455711806
834,L48013,L,296.6,307.4,1616,28.0,175,0,0,0,0,0,0,M01,2025-02-04 17:00:00,296.6,307.4,1521.0,38.6,173.0,296.6,307.4,1544.0,42.3,170.0,296.6,49.5614097189862
835,H30248,H,296.6,307.4,1333,50.2,177,0,0,0,0,0,0,M01,2025-02-04 18:00:00,296.6,307.4,1616.0,28.0,175.0,296.6,307.4,1521.0,38.6,173.0,296.6,144.02430350465121
836,M15695,M,296.7,307.4,1533,32.5,182,0,0,0,0,0,0,M01,2025-02-04 19:00:00,296.6,307.4,1333.0,50.2,177.0,296.6,307.4,1616.0,28.0,175.0,296.6333333333333,145.4750837772568
837,L48016,L,296.6,307.4,1368,45.1,185,0,0,0,0,0,0,M01,2025-02-04 20:00:00,296.7,307.4,1533.0,32.5,182.0,296.6,307.4,1333.0,50.2,177.0,296.6333333333333,106.80979980008023
838,L48017,L,296.6,307.4,1465,47.8,187,0,0,0,0,0,0,M01,2025-02-04 21:00:00,296.6,307.4,1368.0,45.1,185.0,296.7,307.4,1533.0,32.5,182.0,296.6333333333333,82.92365967161135
839,H30252,H,296.6,307.4,1406,41.5,189,0,0,0,0,0,0,M01,2025-02-04 22:00:00,296.6,307.4,1465.0,47.8,187.0,296.6,307.4,1368.0,45.1,185.0,296.6,48.87739763939857
840,M15699,M,296.5,307.4,1565,43.5,194,0,0,0,0,0,0,M01,2025-02-04 23:00:00,296.6,307.4,1406.0,41.5,189.0,296.6,307.4,1465.0,47.8,187.0,296.56666666666666,80.37619879873154
841,L48020,L,296.6,307.5,1582,37.9,197,0,0,0,0,0,0,M01,2025-02-05 00:00:00,296.5,307.4,1565.0,43.5,194.0,296.6,307.4,1406.0,41.5,189.0,296.56666666666666,97.07900562600139
842,L48021,L,296.6,307.5,1439,45.5,199,0,0,0,0,0,0,M01,2025-02-05 01:00:00,296.6,307.5,1582.0,37.9,197.0,296.5,307.4,1565.0,43.5,194.0,296.56666666666666,78.1174329668686
843,M15702,M,296.6,307.5,1566,35.0,201,0,0,0,0,0,0,M01,2025-02-05 02:00:00,296.6,307.5,1439.0,45.5,199.0,296.6,307.5,1582.0,37.9,197.0,296.6,78.35177087979491
844,L48023,L,296.6,307.5,1485,42.7,204,0,0,0,0,0,0,M01,2025-02-05 03:00:00,296.6,307.5,1566.0,35.0,201.0,296.6,307.5,1439.0,45.5,199.0,296.6,64.2987817406614
845,L48024,L,296.5,307.5,1566,35.1,206,0,0,0,0,0,0,M01,2025-02-05 04:00:00,296.6,307.5,1485.0,42.7,204.0,296.6,307.5,1566.0,35.0,201.0,296.56666666666666,46.76537180435835
846,L48025,L,296.3,307.3,1439,41.5,208,0,0,0,0,0,0,M01,2025-02-05 05:00:00,296.5,307.5,1566.0,35.1,206.0,296.6,307.5,1485.0,42.7,204.0,296.4666666666667,64.2987817406614
847,M15706,M,296.4,307.4,1416,50.0,210,0,0,0,0,0,0,M01,2025-02-05 06:00:00,296.3,307.3,1439.0,41.5,208.0,296.5,307.5,1566.0,35.1,206.0,296.40000000000003,80.78572481158547
848,L48027,L,296.4,307.4,2833,5.6,213,1,0,0,1,0,0,M01,2025-02-05 07:00:00,296.4,307.4,1416.0,50.0,210.0,296.3,307.3,1439.0,41.5,208.0,296.3666666666666,811.5472875932738
849,L48028,L,296.3,307.4,1465,47.1,215,0,0,0,0,0,0,M01,2025-02-05 08:00:00,296.4,307.4,2833.0,5.6,213.0,296.4,307.4,1416.0,50.0,210.0,296.3666666666667,804.3334714739486
850,H30263,H,296.4,307.4,1586,35.5,0,0,0,0,0,0,0,M01,2025-02-05 09:00:00,296.3,307.4,1465.0,47.1,215.0,296.4,307.4,2833.0,5.6,213.0,296.3666666666667,757.3059707498239
851,L48030,L,296.3,307.3,1567,31.4,5,0,0,0,0,0,0,M01,2025-02-05 10:00:00,296.4,307.4,1586.0,35.5,0.0,296.3,307.4,1465.0,47.1,215.0,296.3333333333333,65.0717552655007
852,M15711,M,296.2,307.2,1389,48.6,7,0,0,0,0,0,0,M01,2025-02-05 11:00:00,296.3,307.3,1567.0,31.4,5.0,296.4,307.4,1586.0,35.5,0.0,296.3,108.66922287381965
853,M15712,M,296.3,307.3,1368,49.5,10,0,0,0,0,0,0,M01,2025-02-05 12:00:00,296.2,307.2,1389.0,48.6,7.0,296.3,307.3,1567.0,31.4,5.0,296.26666666666665,109.33587395422062
854,L48033,L,296.3,307.3,1444,49.0,13,0,0,0,0,0,0,M01,2025-02-05 13:00:00,296.3,307.3,1368.0,49.5,10.0,296.2,307.2,1389.0,48.6,7.0,296.2666666666667,39.2470805708299
855,M15714,M,296.3,307.3,1498,41.6,15,0,0,0,0,0,0,M01,2025-02-05 14:00:00,296.3,307.3,1444.0,49.0,13.0,296.3,307.3,1368.0,49.5,10.0,296.3,65.309519469471
856,L48035,L,296.1,307.2,1615,30.8,18,0,0,0,0,0,0,M01,2025-02-05 15:00:00,296.3,307.3,1498.0,41.6,15.0,296.3,307.3,1444.0,49.0,13.0,296.23333333333335,87.41281370600008
857,L48036,L,296.1,307.1,1898,22.7,20,0,0,0,0,0,0,M01,2025-02-05 16:00:00,296.1,307.2,1615.0,30.8,18.0,296.3,307.3,1498.0,41.6,15.0,296.1666666666667,205.66072384714886
858,M15717,M,296.1,307.1,1350,53.3,22,0,0,0,0,0,0,M01,2025-02-05 17:00:00,296.1,307.1,1898.0,22.7,20.0,296.1,307.2,1615.0,30.8,18.0,296.1,274.0492656439712
859,M15718,M,296.2,307.0,1516,37.6,25,0,0,0,0,0,0,M01,2025-02-05 18:00:00,296.1,307.1,1350.0,53.3,22.0,296.1,307.1,1898.0,22.7,20.0,296.1333333333333,281.00533802758963
860,H30273,H,296.2,307.0,1542,40.6,28,0,0,0,0,0,0,M01,2025-02-05 19:00:00,296.2,307.0,1516.0,37.6,25.0,296.1,307.1,1350.0,53.3,22.0,296.1666666666667,104.16013312843468
861,H30274,H,296.1,306.9,1541,32.6,33,0,0,0,0,0,0,M01,2025-02-05 20:00:00,296.2,307.0,1542.0,40.6,28.0,296.2,307.0,1516.0,37.6,25.0,296.1666666666667,14.730919862653149
862,M15721,M,296.1,306.9,1951,23.3,38,0,0,0,0,0,0,M01,2025-02-05 21:00:00,296.1,306.9,1541.0,32.6,33.0,296.2,307.0,1542.0,40.6,28.0,296.1333333333334,236.4254639415981
863,H30276,H,296.1,306.8,1645,31.0,41,0,0,0,0,0,0,M01,2025-02-05 22:00:00,296.1,306.9,1951.0,23.3,38.0,296.1,306.9,1541.0,32.6,33.0,296.1,213.13219684818444
864,L48043,L,296.0,306.7,1416,44.2,46,0,0,0,0,0,0,M01,2025-02-05 23:00:00,296.1,306.8,1645.0,31.0,41.0,296.1,306.9,1951.0,23.3,38.0,296.06666666666666,268.4219315431086
865,M15724,M,296.0,306.7,2044,22.3,48,0,0,0,0,0,0,M01,2025-02-06 00:00:00,296.0,306.7,1416.0,44.2,46.0,296.1,306.8,1645.0,31.0,41.0,296.0333333333333,317.811789166691
866,L48045,L,295.9,306.6,1414,50.2,51,0,0,0,0,0,0,M01,2025-02-06 01:00:00,296.0,306.7,2044.0,22.3,48.0,296.0,306.7,1416.0,44.2,46.0,295.9666666666667,363.1546961466053
867,L48046,L,295.9,306.6,1678,26.7,53,0,0,0,0,0,0,M01,2025-02-06 02:00:00,295.9,306.6,1414.0,50.2,51.0,296.0,306.7,2044.0,22.3,48.0,295.93333333333334,316.3731973476892
868,H30281,H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0,M01,2025-02-06 03:00:00,295.9,306.6,1678.0,26.7,53.0,295.9,306.6,1414.0,50.2,51.0,295.9,134.8777224006986
869,M15728,M,295.8,306.5,1514,37.7,60,0,0,0,0,0,0,M01,2025-02-06 04:00:00,295.9,306.5,1594.0,33.2,55.0,295.9,306.6,1678.0,26.7,53.0,295.8666666666666,82.00812967830227
870,L48049,L,295.8,306.5,1358,49.2,63,0,0,0,0,0,0,M01,2025-02-06 05:00:00,295.8,306.5,1514.0,37.7,60.0,295.9,306.5,1594.0,33.2,55.0,295.8333333333333,120.02222016498963
871,L48050,L,295.8,306.4,1325,56.2,65,0,0,0,0,0,0,M01,2025-02-06 06:00:00,295.8,306.5,1358.0,49.2,63.0,295.8,306.5,1514.0,37.7,60.0,295.8,100.95048291117739
872,L48051,L,295.8,306.4,1339,53.2,67,0,0,0,0,0,0,M01,2025-02-06 07:00:00,295.8,306.4,1325.0,56.2,65.0,295.8,306.5,1358.0,49.2,63.0,295.8,16.563010998403993
873,M15732,M,295.8,306.4,1335,51.7,69,0,0,0,0,0,0,M01,2025-02-06 08:00:00,295.8,306.4,1339.0,53.2,67.0,295.8,306.4,1325.0,56.2,65.0,295.8,7.211102550922378
874,L48053,L,295.9,306.4,1892,21.7,72,0,0,0,0,0,0,M01,2025-02-06 09:00:00,295.8,306.4,1335.0,51.7,69.0,295.8,306.4,1339.0,53.2,67.0,295.8333333333333,320.435640963985
875,L48054,L,295.9,306.4,1575,28.5,74,0,0,0,0,0,0,M01,2025-02-06 10:00:00,295.9,306.4,1892.0,21.7,72.0,295.8,306.4,1335.0,51.7,69.0,295.8666666666667,279.3856355171705
876,M15735,M,295.8,306.3,1444,45.5,76,0,0,0,0,0,0,M01,2025-02-06 11:00:00,295.9,306.4,1575.0,28.5,74.0,295.9,306.4,1892.0,21.7,72.0,295.8666666666666,230.34539283432585
877,L48056,L,295.7,306.3,1915,22.4,79,0,0,0,0,0,0,M01,2025-02-06 12:00:00,295.8,306.3,1444.0,45.5,76.0,295.9,306.4,1575.0,28.5,74.0,295.8,243.10560119695558
878,M15737,M,295.6,306.2,1584,33.6,81,0,0,0,0,0,0,M01,2025-02-06 13:00:00,295.7,306.3,1915.0,22.4,79.0,295.8,306.3,1444.0,45.5,76.0,295.7,241.86842152983348
879,M15738,M,295.7,306.3,1685,34.9,84,0,0,0,0,0,0,M01,2025-02-06 14:00:00,295.6,306.2,1584.0,33.6,81.0,295.7,306.3,1915.0,22.4,79.0,295.6666666666667,169.6378495501516
880,L48059,L,295.8,306.3,1337,54.6,87,0,0,0,0,0,0,M01,2025-02-06 15:00:00,295.7,306.3,1685.0,34.9,84.0,295.6,306.2,1584.0,33.6,81.0,295.7,179.03165455676597
881,M15740,M,295.8,306.3,1235,76.2,89,1,0,0,1,0,0,M01,2025-02-06 16:00:00,295.8,306.3,1337.0,54.6,87.0,295.7,306.3,1685.0,34.9,84.0,295.76666666666665,235.9406705084985
882,L48061,L,295.7,306.2,1464,46.2,92,0,0,0,0,0,0,M01,2025-02-06 17:00:00,295.8,306.3,1235.0,76.2,89.0,295.8,306.3,1337.0,54.6,87.0,295.76666666666665,114.72721269748165
883,M15742,M,295.7,306.2,1739,25.9,94,0,0,0,0,0,0,M01,2025-02-06 18:00:00,295.7,306.2,1464.0,46.2,92.0,295.8,306.3,1235.0,76.2,89.0,295.73333333333335,252.3496251896032
884,L48063,L,295.7,306.3,1490,34.3,97,0,0,0,0,0,0,M01,2025-02-06 19:00:00,295.7,306.2,1739.0,25.9,94.0,295.7,306.2,1464.0,46.2,92.0,295.7,151.8233622777905
885,L48064,L,295.8,306.4,1356,48.0,99,0,0,0,0,0,0,M01,2025-02-06 20:00:00,295.7,306.3,1490.0,34.3,97.0,295.7,306.2,1739.0,25.9,94.0,295.73333333333335,194.35620219929493
886,L48065,L,295.7,306.2,1397,52.0,101,0,0,0,0,0,0,M01,2025-02-06 21:00:00,295.8,306.4,1356.0,48.0,99.0,295.7,306.3,1490.0,34.3,97.0,295.7333333333333,68.66100300267395
887,L48066,L,295.7,306.2,1458,40.6,103,0,0,0,0,0,0,M01,2025-02-06 22:00:00,295.7,306.2,1397.0,52.0,101.0,295.8,306.4,1356.0,48.0,99.0,295.73333333333335,51.325757016659715
888,H30301,H,295.7,306.2,2161,16.5,105,0,0,0,0,0,0,M01,2025-02-06 23:00:00,295.7,306.2,1458.0,40.6,103.0,295.7,306.2,1397.0,52.0,101.0,295.7,424.58332515538086
889,M15748,M,295.6,306.1,1651,28.1,110,0,0,0,0,0,0,M01,2025-02-07 00:00:00,295.7,306.2,2161.0,16.5,105.0,295.7,306.2,1458.0,40.6,103.0,295.6666666666667,363.2166479297627
890,L48069,L,295.6,306.1,1389,46.2,113,0,0,0,0,0,0,M01,2025-02-07 01:00:00,295.6,306.1,1651.0,28.1,110.0,295.7,306.2,2161.0,16.5,105.0,295.6333333333333,392.58289995023114
891,L48070,L,295.6,306.0,1370,52.4,115,0,0,0,0,0,0,M01,2025-02-07 02:00:00,295.6,306.1,1389.0,46.2,113.0,295.6,306.1,1651.0,28.1,110.0,295.6,157.03821191034964
892,L48071,L,295.7,306.1,1408,47.9,117,0,0,0,0,0,0,M01,2025-02-07 03:00:00,295.6,306.0,1370.0,52.4,115.0,295.6,306.1,1389.0,46.2,113.0,295.6333333333334,18.999999999996938
893,L48072,L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0,M01,2025-02-07 04:00:00,295.7,306.1,1408.0,47.9,117.0,295.6,306.0,1370.0,52.4,115.0,295.6666666666667,32.65475973473421
894,M15753,M,295.7,306.2,1423,42.5,121,0,0,0,0,0,0,M01,2025-02-07 05:00:00,295.7,306.1,1343.0,54.4,119.0,295.7,306.1,1408.0,47.9,117.0,295.7,42.524502740575585
895,L48074,L,295.6,306.2,1426,48.6,124,0,0,0,0,0,0,M01,2025-02-07 06:00:00,295.7,306.2,1423.0,42.5,121.0,295.7,306.1,1343.0,54.4,119.0,295.6666666666667,47.07794954469896
896,M15755,M,295.6,306.2,1435,51.6,126,0,0,0,0,0,0,M01,2025-02-07 07:00:00,295.6,306.2,1426.0,48.6,124.0,295.7,306.2,1423.0,42.5,121.0,295.6333333333334,6.244997998389624
897,L48076,L,295.5,306.1,1573,35.1,129,0,0,0,0,0,0,M01,2025-02-07 08:00:00,295.6,306.2,1435.0,51.6,126.0,295.6,306.2,1426.0,48.6,124.0,295.56666666666666,82.3953882204574
898,L48077,L,295.6,306.2,1612,31.2,131,0,0,0,0,0,0,M01,2025-02-07 09:00:00,295.5,306.1,1573.0,35.1,129.0,295.6,306.2,1435.0,51.6,126.0,295.56666666666666,92.99999999999942
899,L48078,L,295.6,306.2,1446,49.9,133,0,0,0,0,0,0,M01,2025-02-07 10:00:00,295.6,306.2,1612.0,31.2,131.0,295.5,306.1,1573.0,35.1,129.0,295.56666666666666,86.80053763274297
900,H30313,H,295.6,306.2,1329,55.3,135,0,0,0,0,0,0,M01,2025-02-07 11:00:00,295.6,306.2,1446.0,49.9,133.0,295.6,306.2,1612.0,31.2,131.0,295.6,142.20525072349903
901,L48080,L,295.6,306.2,1569,35.1,140,0,0,0,0,0,0,M01,2025-02-07 12:00:00,295.6,306.2,1329.0,55.3,135.0,295.6,306.2,1446.0,49.9,133.0,295.6,120.01249934902565
902,H30315,H,295.6,306.1,1256,62.3,142,0,0,0,0,0,0,M01,2025-02-07 13:00:00,295.6,306.2,1569.0,35.1,140.0,295.6,306.2,1329.0,55.3,135.0,295.6,163.7569336954415
903,L48082,L,295.6,306.1,1383,48.7,147,0,0,0,0,0,0,M01,2025-02-07 14:00:00,295.6,306.1,1256.0,62.3,142.0,295.6,306.2,1569.0,35.1,140.0,295.6,157.42405576446447
904,L48083,L,295.7,306.2,2270,14.6,149,1,0,0,1,0,0,M01,2025-02-07 15:00:00,295.6,306.1,1383.0,48.7,147.0,295.6,306.1,1256.0,62.3,142.0,295.6333333333333,552.4331030390316
905,H30318,H,295.7,306.2,1458,49.8,151,0,0,0,0,0,0,M01,2025-02-07 16:00:00,295.7,306.2,2270.0,14.6,149.0,295.6,306.1,1383.0,48.7,147.0,295.6666666666667,491.89057048629553
906,L48085,L,295.6,306.1,1474,41.2,156,0,0,0,0,0,0,M01,2025-02-07 17:00:00,295.7,306.2,1458.0,49.8,151.0,295.7,306.2,2270.0,14.6,149.0,295.6666666666667,464.2585486558109
907,M15766,M,295.6,306.1,1462,49.2,158,0,0,0,0,0,0,M01,2025-02-07 18:00:00,295.6,306.1,1474.0,41.2,156.0,295.7,306.2,1458.0,49.8,151.0,295.6333333333334,8.326663997861045
908,M15767,M,295.6,306.1,1669,29.0,161,0,0,0,0,0,0,M01,2025-02-07 19:00:00,295.6,306.1,1462.0,49.2,158.0,295.6,306.1,1474.0,41.2,156.0,295.6,116.20240961357015
909,M15768,M,295.5,306.1,1822,24.3,164,0,0,0,0,0,0,M01,2025-02-07 20:00:00,295.6,306.1,1669.0,29.0,161.0,295.6,306.1,1462.0,49.2,158.0,295.56666666666666,180.67373909896241
910,L48089,L,295.5,306.0,1456,39.2,167,0,0,0,0,0,0,M01,2025-02-07 21:00:00,295.5,306.1,1822.0,24.3,164.0,295.6,306.1,1669.0,29.0,161.0,295.5333333333333,183.81784461798028
911,L48090,L,295.5,306.0,1546,35.9,169,0,0,0,0,0,0,M01,2025-02-07 22:00:00,295.5,306.0,1456.0,39.2,167.0,295.5,306.1,1822.0,24.3,164.0,295.5,190.71444622786169
